187447909,230102311,1
125904362,230102311,1
3556171,230102311,1
100366692,230102311,1
1819087,230102311,1
4228395,230102311,1
5267689,230102311,1
124684462,230102311,1
38994242,230102311,1
9433921,230102311,1
43349722,230102311,0
6348970,230102311,1
4156341,230102311,0
81301702,230102311,1
200306674,230102311,1
59488152,230102311,1
5284621,230102311,1
183982078,230102311,1
192628272,230102311,1
181901842,230102311,1
5533863,230102311,1
718291,230102311,1
155572352,230102311,0
132233312,230102311,0
6529062,230102311,1
146344632,230102311,1
1224310,230102311,1
11961298,230102311,1
104750212,230102311,1
12532659,230102311,0
5556030,230102311,0
4848884,230102311,1
35334152,230102311,1
201928176,230102311,1
37047172,230102311,1
122660622,230102311,1
62407162,230102311,0
9341438,230102311,1
6207207,230102311,0
100366692,230275055,1
1819087,230275055,0
4228395,230275055,1
5267689,230275055,0
124684462,230275055,1
38994242,230275055,1
9433921,230275055,1
6348970,230275055,1
4156341,230275055,0
81301702,230275055,1
200306674,230275055,1
5284621,230275055,1
183982078,230275055,1
192628272,230275055,1
181901842,230275055,1
5533863,230275055,1
718291,230275055,1
155572352,230275055,0
132233312,230275055,0
146344632,230275055,1
1224310,230275055,1
104750212,230275055,1
185523884,230275055,1
5556030,230275055,1
35334152,230275055,1
8930138,230275055,0
9341438,230275055,1
6207207,230275055,1
31592662,230275055,1
124684462,230460719,1
38994242,230460719,1
3386222,230460719,0
6348970,230460719,1
81301702,230460719,1
59488152,230460719,1
5284621,230460719,1
192628272,230460719,1
12928503,230460719,1
5533863,230460719,1
718291,230460719,1
155572352,230460719,1
132233312,230460719,0
146344632,230460719,1
104750212,230460719,0
12532659,230460719,0
5556030,230460719,1
719099,230460719,1
35334152,230460719,1
62407162,230460719,0
6207207,230460719,1
194059567,230348007,1
79857932,230348007,1
6566241,230348007,1
51524012,230348007,1
134371852,230348007,0
2781869,230348007,1
44600032,230348007,1
3592487,230348007,1
60366282,230348007,1
33460632,230348007,1
188479600,230348007,1
13263109,230348007,1
194059567,230374721,1
79857932,230374721,1
6566241,230374721,1
149064952,230374721,1
75618282,230374721,1
51524012,230374721,1
99690192,230374721,0
134371852,230374721,1
44600032,230374721,1
3592487,230374721,1
33460632,230374721,1
188479600,230374721,1
13263109,230374721,1
13262934,229118882,0
186924787,229118882,0
71631102,229118882,1
136504422,229118882,1
190459582,229118882,1
161880472,229118882,1
13262934,230027473,0
9931437,230027473,1
186924787,230027473,0
203022845,230027473,0
180312782,230027473,1
201921963,230027473,0
13262934,229315572,0
9931437,229315572,1
186924787,229315572,0
68915082,229315572,1
180312782,229315572,1
117478332,229315572,1
125904362,228782232,1
9931437,228782232,1
186924787,228782232,0
58716582,228782232,1
180312782,228782232,1
201921963,228782232,0
117478332,228782232,1
13262934,wgrqklyvgbjc,0
186924787,wgrqklyvgbjc,1
71631102,wgrqklyvgbjc,1
202796404,wgrqklyvgbjc,1
2585053,nmwpplyvgbkc,1
71631102,htdmllyvgblc,1
203022845,229927866,0
136504422,229927866,1
186924787,wgrqklyvhbfb,1
71631102,wgrqklyvhbfb,1
2585053,nmwpplyvhbgb,1
71631102,htdmllyvhbhb,1
