memberId,eventId,rsvpRating
6429898,230474885,1
104557552,229740554,0
187232643,230547795,1
132723422,jsgxllyvhbfc,1
78028962,ddfxjkytkbjb,1
1692513,xrmdrlyvpbgc,1
12302008,qghpdhyvkbwb,1
9043725,230187566,1
2858289,qkptqkywfbzb,1
7668746,zfwnclyvhbgb,1
5430820,dbjpdhywfbzb,1
22083641,230047032,1
13414964,dffdccywdblb,1
201651066,229391640,1
48498542,hljzrlyvjblc,1
2381984,229189797,1
186604862,nkftnlyvlblb,1
183344281,227724710,1
58268492,chsbhlywcbcc,1
1967609,gcnfrlyvhblc,1
482161,227724710,1
141667412,rzplslywcbpc,1
186009202,228741872,1
2650494,230209741,1
197691398,230501452,1
2858289,qrkpdhyvkbwb,1
182579161,228899649,1
4393782,qtmtbhywcblb,1
1599618,wctvhlyvkbjb,1
3775349,bksmflytgbbc,0
39996592,hljzrlyvnbhc,1
107570082,hmbjklywdblb,1
115198922,wgwzllyvnbnb,1
8511787,nkftnlyvkbpb,1
8328543,sgqwglyvhbcb,1
65161622,ghkqjlyvqbhc,1
202487569,230387531,0
190282496,ddfxjkytkbjb,1
10839924,dbjpdhywdbzb,1
196261489,gvrwmlyvgbhc,1
233726,qkptqkyvqbxb,1
192916683,bksmflytgbbc,0
12302008,dqkpdhyvmbxb,1
10754634,jvdmdlyvjbgb,1
7792687,gptnslyvgbkc,0
182701035,crrnklyvgbhc,1
23768591,229817473,1
180411012,bdspklyvjbnc,1
2558982,230449438,1
48498542,nspxrlyvjbnb,1
182427252,229751296,1
9253963,dfmlchywgbvb,1
182698543,wbmcrlyvpbfb,1
61247622,230209741,1
202328587,pgwpslyvhbqb,1
10839924,qggpdhyvhbtb,1
184789833,230148291,1
13984721,228844178,1
104906262,rxkwllyvjbkb,1
189431397,qbppklywgbhb,1
34783322,229372935,1
182941316,qczxllyvgbfc,1
6001623,vvxtklyvlbqb,1
39696882,zgstmlyvhbgb,1
2184374,qpkpdhywgbvb,1
107570082,hmbjklyvkbrb,1
2184497,qsfpdhyvpbbc,1
9843151,228030415,1
157246602,qzcfslyvpbpb,1
197357266,kkbknlyvjbkc,1
102842052,229872129,1
6251608,229797875,1
13796980,qrgpdhyvjbzb,1
9471878,xrvvmlyvjbjc,1
8419738,spqcllyvmbbc,1
186304202,ddfxjkytkbjb,0
199605916,230373209,0
147025852,qdstnjyvhbfb,1
7760478,fjpdrlyvlblc,1
112882822,229336397,1
2162237,dxgrncyvkbhb,1
4393782,qtmtbhyvmbxb,1
233726,qkptqkyvlbcc,1
200728879,229797875,0
11552866,rhftnlyvjbbc,1
183609449,rzvkjlycchbwb,0
10839924,vjmpflyvmbxb,1
7090183,229970606,1
192259550,mhbqqlyvjblc,1
195618244,228482694,1
2858289,dkkpdhywcbtb,1
34440072,nspxrlyvkblb,1
12156850,jkpfmlyvhbnb,1
143296462,vfmvrlyvqbbc,1
3424510,qggpdhyvmbxb,1
170626622,230463744,1
6519693,dpqvllyvhbnc,1
3424175,229098535,0
184313506,crtnflyvmbfb,1
203700895,fgbrslywdblb,1
140713042,230195488,1
12693268,gdkwklyvkbwb,1
48984612,229514484,0
13919514,pjbvnlyvlbfb,1
5707527,rhftnlyvpbcc,1
14537266,bkhrslyvkbjc,1
203794630,jkpfmlyvhbnb,1
56337042,spqcllyvjbcc,1
1599618,lctvhlywcbhc,1
189818849,djpbqlyvhbgb,1
188786717,xrvgslyvnbjb,1
185095088,tqzpslyvgblc,1
186604862,fkftnlyvqbhb,1
141667412,hgffllywgbcb,1
198568614,230209741,0
5430820,qlkpdhywcbtb,1
2184371,qpkpdhywgbvb,1
52606872,qpvcjlyvqblc,1
199326227,230033360,1
200291800,229395424,1
13796980,dfmlchywgbvb,1
7642553,230460220,1
7494815,qjhqxcywfbmc,1
2184374,qxrgmlyvpbbc,1
3424510,qggpdhyvnbvb,1
3541408,hqdwllyvjbfb,1
96753202,rzvkjlycchbwb,1
200538699,229969721,1
8698348,227626174,1
145089372,trtlmlywfblb,1
12582571,cgqjflyvhbdc,1
115198922,wgwzllywdbrb,1
187522019,cdcmslywcbcb,1
9253963,dlgpdhyvmbxb,1
85439532,230033360,0
99740332,230317390,1
5430820,qkptqkyvlbcc,1
34988982,qrqjjlywfbgc,1
14641652,lvnfdlyvkbtb,1
131763092,230269561,0
188979041,qrctnlyvjbdb,1
202692889,228704877,1
159685772,230457336,1
5430820,vjmpflywfbzb,1
55788482,229936633,1
4177132,qlkpdhyvhbtb,1
7340574,229925900,1
3534129,qrkpdhyvlbcc,1
13750198,230148354,1
10754634,jvdmdlyvpbzb,1
12301932,qghpdhywdbzb,1
4177132,dbjpdhywgbvb,1
13215561,jjdwglytqbkb,1
185601918,xrvgslyvjbfc,1
2184374,qxrgmlywgbvb,1
26519052,qkvrdkywdbhb,1
192444667,jlncrlyvhbnb,1
97466012,rgtpdlywfbdb,1
12301932,qtgpdhyvpbbc,1
33735402,229841879,1
12841213,229501827,1
19926181,230148291,1
4181218,qfhpdhyvhbtb,1
2943408,qtlwklyvkbwb,1
12302008,qpkpdhywdbzb,1
34440072,zrpxrlyvjbnc,1
53596472,230210104,1
6363045,229152820,0
5388073,qvjpdhywfbzb,1
11855093,227950529,1
1692513,xrmdrlyvqbcb,1
16880171,hljzrlyvgbjc,1
233726,qghpdhyvjbzb,1
203753272,230300124,0
38088952,wtxtklyvnbfb,1
11894485,nnrnklyvjblb,1
185338414,cjsdllyvqbvb,1
10231548,qkhpdhyvmbxb,1
13796980,dlgpdhyvqbxb,1
13796980,qtlwklyvmbxb,1
73046402,229831011,1
7815860,230161561,0
10231548,qtlwklyvhbtb,1
149370882,224409054,1
13797015,qrkpdhyvjbzb,1
8533183,qmhpklyvqbbc,1
74368462,jjdwglytqbkb,1
200037713,xbdqslyvhbqb,1
97039582,ddfxjkytkbjb,1
10483030,tmnzrlyvhbqb,1
11633817,jkpfmlyvhbnb,1
9577193,qxrgmlyvqbxb,1
9619844,gtnvhlywgbgb,1
2858289,qghpdhyvpbbc,1
12301849,qzfpdhyvkbwb,1
6288810,jjdwglytqbkb,1
12736392,229774451,0
1669967,zfwfllyvnbtb,1
130169252,229818318,1
11702943,lgzpglyvkbzb,1
9577326,vjmpflyvpbbc,1
202132908,kmfgslyvgbjc,1
141237522,230368136,1
122750172,bksmflytgbbc,1
141237522,229875550,1
93086042,227578664,1
203472560,230419380,1
9701706,230206110,0
150414362,229440578,1
39996592,hljzrlyvjblc,1
200294951,229842941,1
26921722,kxkkllyvmbfb,1
5330952,fgpsglyvkbmb,1
65161622,ghkqjlyvjbjc,1
12301849,qvjpdhywgbvb,1
11824352,cjlqrlywdbpb,1
12739006,rpprrlyvjbpb,1
12301932,qghpdhyvpbbc,1
2184497,dbjpdhyvjbzb,1
79303322,ddfxjkytkbjb,1
188979041,qrctnlyvkbkb,1
4181218,qkhpdhywcbtb,1
57832382,228715628,0
13797139,qkhpdhywfbzb,1
13796980,qsfpdhyvmbxb,1
11815255,brznqlyvlblc,1
44340262,gvxrslyvkbqb,1
61111592,230010212,1
192506208,230047032,1
78280332,228844178,1
183267634,227875168,0
143296462,vfmvrlywdbcc,1
2858289,qpkpdhyvjbzb,1
13482361,229784904,1
13796980,qtgpdhywdbzb,1
2184374,dqkpdhyvmbxb,1
195184337,mdtdmlyvmbcb,1
189333365,230450725,0
194119885,229111277,0
32555772,qgclhfyvlblc,1
177878932,prdnglyvkbsb,1
40605532,230306971,1
7668746,zfwnclyvjbmc,1
6001623,wtxtklyvlblb,1
9842009,qnqskhyvmbqb,1
148331092,226837605,1
9253963,qfhpdhyvmbxb,1
187123608,jjdwglytqbkb,1
51762412,ddfxjkytkbjb,0
