userId,groupId
198100185,19343206
198100185,2591172
198100185,1770462
198100185,19813641
198100185,4509262
198100185,2224141
198100185,3206432
198100185,3813512
198100185,5450982
198100185,19775829
198100185,8900702
198100185,19098041
198100185,4183012
198100185,3408072
198100185,19739858
81745652,187393
81745652,214400
81745652,484868
81745652,1513747
81745652,4509262
81745652,2241321
81745652,184974
81745652,18406420
81745652,4484042
81745652,13550272
81745652,1579786
81745652,18954674
81745652,54676
81745652,263185
81745652,1540097
81745652,382492
81745652,3657262
81745652,19098041
81745652,1573891
81745652,18251789
81745652,8674712
81745652,1715717
81745652,1523510
81745652,1621434
81745652,18182455
81745652,235686
81745652,18883719
81745652,1574320
81745652,17284142
81745652,1494716
81745652,1752752
81745652,18339643
81745652,1163553
81745652,3813512
81745652,19115025
81745652,157105
81745652,119096
81745652,1848741
81745652,18430628
81745652,186051
81745652,882508
81745652,9058632
81745652,95301
81745652,1770462
81745652,19413615
81745652,18208351
81745652,1677141
81745652,18828241
81745652,18504405
81745652,18505035
81745652,18708940
81745652,1513413
81745652,1423171
81745652,11068542
81745652,2929012
81745652,1286602
81745652,1374414
81745652,4183012
81745652,99679
81745652,18241527
81745652,2983752
81745652,9240042
81745652,1260916
81745652,1679859
81745652,18390132
81745652,449654
81745652,163827
81745652,1288033
81745652,261110
81745652,12704052
81745652,1304426
81745652,18523878
81745652,1104494
81745652,18371559
10709935,234370
10709935,18308374
10709935,214400
10709935,1634459
10709935,7347572
10709935,18679707
10709935,1763346
10709935,1816338
10709935,18224411
10709935,2004241
10709935,14609102
10709935,680089
10709935,220053
10709935,3106232
10709935,8674712
10709935,19283259
10709935,1031569
10709935,19749427
10709935,829741
10709935,1773370
10709935,1164978
10709935,1572531
10709935,18974087
10709935,7993182
10709935,61608
10709935,19624323
10709935,16109912
10709935,1588406
10709935,217906
10709935,2127761
10709935,1671595
10709935,18377770
10709935,3430412
10709935,4615422
10709935,3458702
10709935,19304348
10709935,19290397
10709935,19304166
10709935,3628022
10709935,9953622
10709935,19809005
10709935,18632920
10709935,195525
10709935,3025762
10709935,1499225
10709935,468183
10709935,483031
10709935,726744
10709935,3455712
10709935,1099209
10709935,2063171
10709935,3601002
10709935,2976972
10709935,1798905
10709935,1149685
10709935,19234881
10709935,1050229
10709935,19097414
10709935,4617512
10709935,367989
10709935,389744
10709935,436734
10709935,19894871
10709935,3663822
10709935,16456452
200198977,187393
200198977,214400
200198977,1513747
200198977,122884
200198977,19032743
200198977,1763346
200198977,1789201
200198977,4509262
200198977,19087784
200198977,3180452
200198977,18713481
200198977,263185
200198977,2996152
200198977,3106232
200198977,18402435
200198977,220319
200198977,1574020
200198977,1308467
200198977,17070112
200198977,10094642
200198977,1192507
200198977,1752752
200198977,144429
200198977,418742
200198977,18473260
200198977,4398842
200198977,1678882
200198977,882508
200198977,9058632
200198977,19413615
200198977,1326557
200198977,766785
200198977,1550685
200198977,1175514
200198977,6425132
200198977,19188212
200198977,3912812
200198977,2929012
200198977,1493708
200198977,2063171
200198977,10091972
200198977,1130737
200198977,2976972
200198977,1050229
200198977,2983752
200198977,1330802
200198977,19108933
200198977,8278422
200198977,194793
200198977,18392947
200198977,3080002
200198977,238701
200198977,13393442
200198977,579832
200198977,1288033
200198977,2939352
200198977,18339809
200198977,1304426
200198977,1429612
200198977,317560
200198977,18533222
200198977,1337449
194119885,3628022
194119885,1662283
194119885,1671595
194119885,9418522
194119885,4356132
194119885,3106232
194119885,8278422
284636,18679707
284636,1587976
284636,67856
284636,19188661
284636,1759624
284636,18954674
284636,19726777
284636,9710722
284636,3106232
284636,2377661
284636,1684227
284636,335000
284636,223265
284636,18855993
284636,1192507
284636,19591811
284636,14286322
284636,18184635
284636,19633051
284636,1771689
284636,19753370
284636,4058502
284636,19237403
284636,327500
284636,1502297
284636,18708940
284636,215249
284636,1513413
284636,1765193
284636,1782863
284636,3894892
284636,18503245
284636,19624306
284636,489306
284636,14248632
284636,1336567
284636,12649892
284636,18874445
284636,367989
284636,1302242
284636,19739484
284636,8892532
284636,15004432
284636,1355874
284636,2656862
284636,1577058
284636,2520282
284636,6326812
284636,531191
50707982,18308374
50707982,1777436
50707982,19085097
50707982,2241321
50707982,18224411
50707982,1120799
50707982,14609102
50707982,263185
50707982,18539013
50707982,1308467
50707982,16697822
50707982,18991616
50707982,214315
50707982,323889
50707982,9151422
50707982,19088916
50707982,19804432
50707982,18379096
50707982,1723742
50707982,1674847
50707982,966214
50707982,1537119
50707982,1882711
50707982,15539622
50707982,18785621
50707982,1677141
50707982,19856765
50707982,2929012
50707982,10091972
50707982,19002432
50707982,19064131
50707982,1041515
50707982,10110462
50707982,19081287
50707982,1050229
50707982,19097414
50707982,1260916
50707982,10840002
50707982,4766752
50707982,18311549
50707982,19412804
50707982,411510
50707982,1288033
50707982,6913562
50707982,18288483
50707982,18463897
50707982,214400
50707982,84358
50707982,19542183
50707982,2112431
50707982,54676
50707982,220053
50707982,3106232
50707982,9203222
50707982,9618952
50707982,18402435
50707982,19188927
50707982,19060412
50707982,18821821
50707982,1655741
50707982,1752752
50707982,2433422
50707982,16109912
50707982,19870594
50707982,1588406
