memberId,memberLat,memberLon,eventId,eventTime,eventYesRSVPCount,groupId,venueId,venueLat,venueLon,rsvpTime,rsvpResponse,rsvpRating,eventDay,eventPeriod
13313393,40.76,-73.95,zkmshlywfbbc,1490047200000,2,2308701,503466,40.752723693847656,-73.98307037353516,1434589369000,yes,1,MONDAY,EVENING
186452538,40.73,-73.99,sxqjjlywdbpb,1486823400000,1,18739330,23975601,40.71260452270508,-73.95572662353516,1437407367000,yes,1,SATURDAY,DAY
202328028,40.75,-74.26,230464992,1462665600000,1,16041752,693721,40.75212860107422,-73.96762084960938,1460995385000,yes,1,SATURDAY,EVENING
194972775,40.77,-74.03,230138433,1461362400000,113,8663942,24236155,40.748046875,-73.991943359375,1460856886000,yes,1,FRIDAY,EVENING
2493813,40.71,-74.0,txsljlywdbqb,1486940400000,1,18215051,23502161,40.70270538330078,-73.98579406738281,1437782304000,yes,1,SUNDAY,EVENING
8935020,40.72,-74.0,vmmshlyvnbgc,1477346400000,3,18291910,23773499,40.75003433227539,-73.98632049560547,1434590411000,yes,1,MONDAY,EVENING
71113222,40.75,-73.99,rrrlnlyvqbmc,1483056000000,1,6034152,11827712,40.7382698059082,-73.99840545654297,1452013081000,yes,1,THURSDAY,EVENING
36036962,41.31,-72.92,230403799,1462633200000,108,161249,5330042,40.74054336547852,-73.99575805664062,1460756410000,yes,1,SATURDAY,DAY
187431586,40.73,-73.95,qqhkmlyvlbjb,1470490200000,1,18604489,23839810,40.72215270996094,-73.94808197021484,1448123910000,yes,1,SATURDAY,DAY
2838587,40.73,-74.05,227872815,1462102200000,6,400660,3494852,40.70479965209961,-74.01701354980469,1452044863000,yes,1,SUNDAY,DAY
170701252,-33.87,151.21,221000223,1477180800000,30,1235637,429890,40.75141906738281,-73.97206115722656,1427060007000,no,0,SATURDAY,EVENING
27554772,40.73,-73.99,229330404,1461709800000,131,3402322,24299484,40.740638732910156,-73.9963607788086,1460469417000,yes,1,TUESDAY,EVENING
191844363,40.77,-73.96,225475169,1461706200000,19,18843469,24371747,40.71100997924805,-74.0008773803711,1442702711000,yes,1,TUESDAY,DAY
4118992,40.8,-73.97,xhdmflywcbjb,1483709400000,1,3372462,23924465,40.73275375366211,-73.99090576171875,1423520282000,yes,1,FRIDAY,DAY
14520758,40.78,-73.95,175336642,1482501600000,39,1731388,8429172,40.74166488647461,-73.99018859863281,1397576402000,yes,1,FRIDAY,DAY
352057,40.87,-73.92,jpwthlyvqbqb,1481592600000,1,1809097,23601637,40.72943115234375,-73.9917984008789,1434949118000,yes,1,MONDAY,EVENING
3819281,40.73,-73.99,230420164,1461456000000,12,213096,20925502,40.68680191040039,-73.95631408691406,1460819546000,yes,1,SATURDAY,EVENING
197913308,41.05,-73.54,230474842,1461364200000,16,19190558,24245695,40.75202178955078,-73.99030303955078,1461018798000,yes,1,FRIDAY,EVENING
27687102,40.9,-73.9,cfmxqlyvpbnc,1480550400000,2,7252792,24365637,40.74147415161133,-73.9763412475586,1456576689000,yes,1,WEDNESDAY,EVENING
4349417,40.71,-74.0,ttbwglyvhbmc,1464536700000,2,5925722,15573482,40.69635772705078,-73.99127960205078,1458414687000,yes,1,SUNDAY,DAY
