12557832,xvslslyvqbkc,1
186391140,230047224,0
71631102,thrqklyvnbpb,1
195538796,gkgshlyvgbgc,1
14521773,pttbmlyvhblc,1
72616892,230349963,1
9463781,229497998,1
191486937,229535304,0
12607786,230526795,0
10425458,230382758,0
34991432,230482790,1
14369328,222042280,0
189915535,227324589,1
27180232,mcvxnlyvhbdc,1
2009244,229965839,1
189799999,229641643,1
165920942,230317352,1
33922272,229647069,1
9043318,ncskdlyvpbnb,1
138397032,228870029,1
106663822,qnzhpgyvmbsb,1
192710268,224379028,1
189283337,zqllllyvhbgb,1
189283337,pbpnllyvmbfb,1
150591792,hdkrnlywgblb,1
6218632,whlsrlyvgbjc,1
8749138,230126262,1
89913222,230267364,0
13463131,230199048,1
144568492,tbftplyvlbsb,1
23368001,230348007,1
9377831,229971784,1
89056512,kxvgqlyvmbvb,1
14063541,229819006,1
112177462,qdsxgkyvhbnb,1
90599532,229647069,1
35362602,228802300,1
202434859,whlsrlyvgbjc,0
72616892,228326099,1
77697422,230414949,0
130362632,229228960,1
125574762,230275055,1
85069062,229595938,0
52022862,qhwqbfyvgbfc,1
190607510,230008116,1
7092500,mqlwrlywfbgb,1
102149092,230076311,1
189102945,230324883,0
138831672,229487034,1
136077512,229487034,1
167461752,228264870,1
184644777,zzrdmlyvhbnb,1
198070068,xkzvflyvjbhb,1
3386222,230106874,0
197119997,229315572,1
103087502,vnlpqlyvhbhb,1
193240584,227393111,1
197384659,qsznnlyvkblc,1
1819087,230275055,0
122138712,227300633,1
189102945,230325114,0
118214382,qvlsbfyvgbfc,1
1986197,hmqkjlyvmbsb,1
112394682,230222325,1
2650644,ncldnlyvpbhb,1
16532601,230176219,1
12889700,fkrmslyvkbpb,1
898298,230347068,1
2322401,pttbmlyvmbfb,1
12557832,hkfqrlyvpbnc,1
3249191,230316259,0
194310891,227393111,1
12886932,dkmbvjyvgbkc,1
161185872,228980766,1
33988702,230093115,1
937832,mgprhlywcbcb,1
193278673,wzksglyvkbxb,1
195467019,230535312,1
201213737,229429558,1
203263673,229648843,1
73448952,vtrzclyvgbgc,1
195469645,227930430,1
144568492,snjkslyvhbtb,1
195747183,gmvqmlywgbjb,1
53320932,229311592,1
6258141,qcgkqcyvmbqb,1
12607786,230434409,0
118033722,sfvnllyvlbdb,1
200053602,dvgpmlyvhbsb,1
121142332,227324589,1
46001282,230267364,0
200306674,228232973,1
117271682,230098759,1
5267689,230102311,1
38537102,222042280,0
6258141,qcgkqcyvjbkc,1
185106835,wbktmlyvjbrb,1
1437737,qpwwnyvjbfc,1
12412996,dnscvkywdbcb,1
99684612,230554865,1
131458882,230538513,1
185191174,ppvlllyvhbhb,1
